district,block,sr_no,gram_panchayat,ward_no,reservation,caste_reservation,woman_reserved,winner,father_husband,unopposed,vacant,reservation_raw,script,printings_agree,notification,source_pdf
Ambala,Ambala-I,1,Ado Majra,1,SC Other than Woman,SC,0,Dharam Pal,Gurmukh Singh,0,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,1,Ado Majra,2,SC Woman,SC,1,Sunita Rani,Jagtar Singh,1,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,1,Ado Majra,3,BC-A Other than Woman,BC_A,0,Amrit Kaur,Mohan Jeet,1,0,Backward Class,latin,,1992,Ambala.pdf
Ambala,Ambala-I,1,Ado Majra,4,SC Woman,SC,1,Nirmla Devi,Kuldeep Singh,1,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,1,Ado Majra,5,Other than Woman,NONE,0,Sandeep Singh,Jagir Singh,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,1,Ado Majra,6,Woman,NONE,1,Gagandeep Kaur,Amanjeet Singh,1,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,1,Ado Majra,7,SC Other than Woman,SC,0,Ragubir Singh,Prabu Ram,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,1,Other than Woman,NONE,0,Chatan Singh,Sharwan Singh,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,2,BC-A Other than Woman,BC_A,0,Maninder Kumar,Shiv Kumar,1,0,Backward Class,latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,3,SC Woman,SC,1,Geeta Rani,Gurjeet Singh,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,4,Woman,NONE,1,Navdeep Kaur,Gurshevak Singh,1,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,5,Other than Woman,NONE,0,Harish Chander,Mohan Lal,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,2,Ahema,6,Other than Woman,NONE,0,Usha Rani,Ishwer Kumar,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,1,Other than Woman,NONE,0,Gurmelo Devi,Karam Vir Singh,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,2,Woman,NONE,1,Jagdeep Kaur,Sukhwinder Singh,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,3,BC-A Other than Woman,BC_A,0,Ashok Kumar,Dharampal,1,0,Backward Class,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,4,SC Other than Woman,SC,0,Jagvinder Kaur,Rajesh Singh,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,5,SC Woman,SC,1,Teena Rani,Harnek Singh,1,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,6,SC Other than Woman,SC,0,Narmail Singh,Rulda Ram,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,3,Amipur,7,SC Woman,SC,1,Sunita Devi,Harwinder Singh,1,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,1,BC-A Other than Woman,BC_A,0,Sandeep Kumar,Shashi Kumar,1,0,Backward Class,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,2,Woman,NONE,1,Gurjeet Kaur,Gurdayal Singh,1,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,3,Other than Woman,NONE,0,Sanjiv Kumar,Jeet Ram,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,4,Other than Woman,NONE,0,Komal Sharma,Harikumar Sharma,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,5,SC Woman,SC,1,Madhu Bala,Ram Niwas,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,6,Other than Woman,NONE,0,Amrik Singh,Pala Ram,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,7,SC Other than Woman,SC,0,Hakam Singh,Labh Singh,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,8,Woman,NONE,1,Pinki,Brij Bhushan,1,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,9,SC Other than Woman,SC,0,Karam Chand,Preeta Ram,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,10,Other than Woman,NONE,0,Balbir Singh,Sarwan Kumar,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,4,Anandpur Jalbera,11,SC Woman,SC,1,Jogindro,Amarjeet,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,1,BC-A Other than Woman,BC_A,0,Sanjeev Kumar,Shishpal,1,0,Backward Class,latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,2,SC Other than Woman,SC,0,Nasib Kumar,Desh Raj,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,3,Other than Woman,NONE,0,Deepak,Brijmohan Sharma,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,4,SC Woman,SC,1,Kavita Devi,Manish Kumar,1,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,5,Other than Woman,NONE,0,Sarjant Singh,Dharampal,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,5,Babaheri,6,Woman,NONE,1,Daya Rani,Vinod Kumar,1,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,1,Woman,NONE,1,Gurmeet Kaur,Dharminder Singh,1,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,2,Other than Woman,NONE,0,Gurnaam Singh,Jagjit Singh,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,3,Other than Woman,NONE,0,Kaptan Singh,Naib Singh,1,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,4,Other than Woman,NONE,0,Balwant Singh,Ram Singh,0,0,Unreserved,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,5,SC Other than Woman,SC,0,Gurmeet Singh,Bachhan Singh,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,6,SC Other than Woman,SC,0,Gurdeep Singh,Charan Singh,1,0,Scheduled Caste,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,7,SC Woman,SC,1,Sukhwinder Kaur,Balvinder Kumar,0,0,Schedulded Caste (Women),latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,8,Woman,NONE,1,Meena Rani,Satish Kumar,0,0,Women,latin,,1992,Ambala.pdf
Ambala,Ambala-I,6,Baknour,9,BC-A Other than Woman,BC_A,0,Satpal,Banarsi Dass,0,0,Backward Class,latin,,1992,Ambala.pdf
Ambala,Ambala-I,7,Ballana,1,Other than Woman,NONE,0,Manvir Singh,Charnjeet Singh,1,0,Unreserved,latin,,1992,Ambala.pdf
